2026_R1_1,2026,Rd 1,1,1,5625,2026-02-28,Newcastle,NQ Cowboys,28,18,Allegiant,,,,,,,,,
2026_R1_2,2026,Rd 1,1,2,5626,,Canterbury Bulldogs,St. George Illawarra Dragons,15,14,Allegiant,,,,,,,,,
2026_R1_3,2026,Rd 1,1,3,5627,2026-03-05,Melbourne,Parramatta,52,4,AAMI,,,,,,,,,
2026_R1_4,2026,Rd 1,1,4,5628,,New Zealand Warriors,Sydney Roosters,42,18,Go Media,,,,,,,,,
2026_R1_5,2026,Rd 1,1,5,5629,,Brisbane Broncos,Penrith,0,26,Suncorp,,,,,,,,,
2026_R1_6,2026,Rd 1,1,6,5630,,Cronulla,Gold Coast Titans,50,10,Ocean Protect,,,,,,,,,
2026_R1_7,2026,Rd 1,1,7,5631,,Manly,Canberra,28,29,4 Pines,,,,,,,,,
2026_R1_8,2026,Rd 1,1,8,5632,,Dolphins,South Sydney,30,40,Suncorp,,,,,,,,,
