model,year,games,correct,accuracy,brier,logLoss
legacy2025,2022,201,143,0.7114427860696517,0.20438424475464878,0.5953676034869934
legacy2025,2023,213,140,0.6572769953051644,0.2175468041877251,0.6289403370065438
legacy2025,2024,213,140,0.6572769953051644,0.22382655312005426,0.6419371047814151
legacy2025,2025,213,136,0.6384976525821596,0.22560815617526758,0.6450121430425405
legacy2025,2026,204,124,0.6078431372549019,0.23067416081783965,0.6529945149370588
start2026,2009,201,132,0.6567164179104478,0.2245016418148206,0.64854394052417
start2026,2010,201,113,0.5621890547263682,0.24710968817532414,0.687539536536603
start2026,2011,201,143,0.7114427860696517,0.2148433524849391,0.624651351194477
start2026,2012,201,125,0.6218905472636815,0.23364375354793765,0.6630218766631155
start2026,2013,201,119,0.5920398009950248,0.22821715301227613,0.6522974709492686
start2026,2014,201,121,0.6019900497512438,0.23270829025429732,0.6575611985831514
start2026,2015,201,118,0.5870646766169154,0.23717235781953722,0.6672518619400347
start2026,2016,201,126,0.6268656716417911,0.22105349093604615,0.6365648461080855
start2026,2017,201,126,0.6268656716417911,0.2184949282106745,0.6270812885096639
start2026,2018,201,130,0.6467661691542289,0.23540701069859538,0.6641769941088264
start2026,2019,201,128,0.6368159203980099,0.22551306987983552,0.644545244533158
start2026,2020,169,117,0.6923076923076923,0.2026130468546665,0.5952325932995002
start2026,2021,201,148,0.736318407960199,0.18581796499545336,0.554537268140621
start2026,2022,201,144,0.7164179104477612,0.20451224609723653,0.5951994965582874
start2026,2023,213,140,0.6572769953051644,0.21839940181981696,0.6312595087352767
start2026,2024,213,141,0.6619718309859155,0.22485977712159846,0.6442995735473193
start2026,2025,213,143,0.6713615023474179,0.22628877385634344,0.6468151763846034
start2026,2026,204,129,0.6323529411764706,0.23043024592562147,0.6531623142232681
production,2009,201,131,0.6517412935323383,0.22457500825734564,0.6487149620907521
production,2010,201,112,0.5572139303482587,0.24698859761812536,0.6872761182115461
production,2011,201,143,0.7114427860696517,0.21506125118660424,0.6250990575191259
production,2012,201,125,0.6218905472636815,0.23381701994915158,0.6633980665711888
production,2013,201,120,0.5970149253731343,0.22822805569279014,0.6523335251665918
production,2014,201,122,0.6069651741293532,0.2325883912773076,0.6573146155774674
production,2015,201,118,0.5870646766169154,0.23728572010559904,0.6674646987484917
production,2016,201,123,0.6119402985074627,0.221451233355001,0.6374747963077951
production,2017,201,126,0.6268656716417911,0.21848418615607218,0.627042454158544
production,2018,201,130,0.6467661691542289,0.2352922156564821,0.6639402653867126
production,2019,201,128,0.6368159203980099,0.22555473813294893,0.6446486042097661
production,2020,169,117,0.6923076923076923,0.20282794217342826,0.5956965501084052
production,2021,201,148,0.736318407960199,0.18583865327212823,0.5546295242331174
production,2022,201,145,0.7213930348258707,0.20460766996707683,0.595404547603434
production,2023,213,140,0.6572769953051644,0.21836992327045807,0.6311637406978057
